"408906762813579264";"1386325944";"dugarchikbellko";"на работе был полный пиддес :| и так каждое закрытие месяца, я же свихнусь так D:";"-1";"0";"0";"0";"8064";"111";"94";"2"
"408906818262687744";"1386325957";"nugemycejela";"Коллеги сидят рубятся в Urban terror, а я из-за долбанной винды не могу :(";"-1";"0";"0";"0";"26";"42";"39";"0"
"408906858515398656";"1386325966";"4post21";"@elina_4post как говорят обещаного три года ждут...((";"-1";"0";"0";"0";"718";"49";"249";"0"
"408906914437685248";"1386325980";"Poliwake";"Желаю хорошего полёта и удачной посадки,я буду очень сильно скучать( http://t.co/jCLNzVNv3S";"-1";"0";"0";"0";"10628";"207";"200";"0"
"408906914723295232";"1386325980";"capyvixowe";"Обновил за каким-то лешим surf, теперь не работает простоплеер :(";"-1";"0";"0";"0";"35";"17";"34";"0"
"408906915704737792";"1386325980";"nunejibaduq";"Котёнка вчера носик разбила, плакала и расстраивалась :(";"-1";"0";"0";"0";"222";"62";"62";"0"
"408906973623504896";"1386325994";"Donna_132";"@juliamayko @O_nika55 @and_Possum Зашли, а то он опять затихарился, я прямо физически страдаю, когда он долго молчит!(((";"-1";"0";"0";"0";"8311";"36";"68";"0"
"408907184160776192";"1386326044";"Darynka_";"а вообще я не болею -  я не выздоравливаю :(";"-1";"0";"0";"0";"7";"43";"33";"1"
"408907406652231680";"1386326097";"mejagurijope";"я микрофраза :( учимся срать кирпичами в режиме &amp;quot;нон-стоп&amp;quot; @niwoqisipapy";"-1";"0";"0";"0";"8";"5";"3";"0"
"408907447303413760";"1386326107";"Ira_frank";"я хочу с тобой помириться , но сука я гордая и никогда этого не сделаю! (((";"-1";"0";"0";"0";"5475";"244";"95";"1"
